text,label,temperature,humidity,heat_index
"Environment: 30.8°C, 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
"Temperature at 30.9°C (trend stable), humidity at 50.0%.",Moderate,30.9,50.0,32.45
"Sensor readings show 24.9 degrees Celsius, 50.0 percent humidity, heat index is normal.",Low,24.9,50.0,25.83
"Sensor readings show 30.8 degrees Celsius, 50.0 percent humidity, heat index is high.",Moderate,30.8,50.0,32.29
"Current conditions: 30.9°C temperature, 50.0% humidity, heat index is high.",Moderate,30.9,50.0,32.45
"Alert: Temperature 30.9°C, humidity 50.0%. Heat index is high.",Moderate,30.9,50.0,32.45
Temperature stable to 30.9°C. Humidity stable to 48.0%.,Moderate,30.9,48.0,32.08
Temperature stable to 24.6°C. Humidity stable to 50.0%.,Low,24.6,50.0,25.67
"Current conditions: 25.0°C temperature, 50.0% humidity, heat index is normal.",Low,25.0,50.0,25.89
Temperature stable to 30.8°C. Humidity rising to 50.0%.,Moderate,30.8,50.0,32.29
"Environment: 24.6°C, 50.0%, heat index is normal.",Low,24.6,50.0,25.67
"Temperature is 30.9°C, humidity is 50.0%, heat index is high.",Moderate,30.9,50.0,32.45
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,26.9,47.0,27.15
"Current conditions: 30.8°C temperature, 50.0% humidity, heat index is high.",Moderate,30.8,50.0,32.29
"Alert: Temperature 24.6°C, humidity 50.0%. Heat index is normal.",Low,24.6,50.0,25.67
Temperature stable to 30.9°C. Humidity stable to 50.0%.,Moderate,30.9,50.0,32.45
30.8°C and 49.0% humidity detected.,Moderate,30.8,49.0,32.1
"Temperature is 24.8°C, humidity is 50.0%, heat index is normal.",Low,24.8,50.0,25.78
"Alert: Temperature 31.0°C, humidity 50.0%. Heat index is high.",Moderate,31.0,50.0,32.62
Temperature stable to 24.9°C. Humidity stable to 50.0%.,Low,24.9,50.0,25.83
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,26.3,47.0,26.67
"Alert: Temperature 30.8°C, humidity 49.0%. Heat index is high.",Moderate,30.8,49.0,32.1
"Environment: 30.9°C, 50.0%, heat index is high.",Moderate,30.9,50.0,32.45
"Environment: 30.9°C, 48.0%, heat index is high.",Moderate,30.9,48.0,32.08
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,31.0,49.0,32.42
"Temperature at 30.9°C (trend stable), humidity at 49.0%.",Moderate,30.9,49.0,32.26
"Temperature is 30.9°C, humidity is 50.0%, heat index is high.",Moderate,30.9,50.0,32.45
"Alert: Temperature 30.8°C, humidity 50.0%. Heat index is high.",Moderate,30.8,50.0,32.29
Temperature stable to 27.4°C. Humidity stable to 45.0%.,Moderate,27.4,45.0,27.47
"Current conditions: 45.0°C temperature, 65.4% humidity, heat index exceeds threshold.",Severe,45.0,65.4,73.62
"Warning: temperature is warm, humidity is moderate. Heat index concern.",Moderate,31.0,50.0,32.62
"Temperature at 30.9°C (trend stable), humidity at 49.0%.",Moderate,30.9,49.0,32.26
"Current conditions: 31.0°C temperature, 49.0% humidity, heat index is high.",Moderate,31.0,49.0,32.42
"Current conditions: 30.8°C temperature, 50.0% humidity, heat index is high.",Moderate,30.8,50.0,32.29
"Current conditions: 30.9°C temperature, 48.0% humidity, heat index is high.",Moderate,30.9,48.0,32.08
"Alert: Temperature 27.2°C, humidity 45.0%. Heat index is elevated.",Moderate,27.2,45.0,27.29
"Temperature at 31.0°C (trend stable), humidity at 49.0%.",Moderate,31.0,49.0,32.42
"Temperature is 30.9°C, humidity is 50.0%, heat index is high.",Moderate,30.9,50.0,32.45
"Temperature is comfortable at 26.3°C, humidity is low.",Low,26.3,47.0,26.67
"Environment: 27.1°C, 46.0%, heat index is elevated.",Moderate,27.1,46.0,27.27
Temperature stable to 31.0°C. Humidity stable to 50.0%.,Moderate,31.0,50.0,32.62
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,30.8,49.0,32.1
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,26.9,46.0,27.1
"Alert: Temperature 25.8°C, humidity 44.0%. Heat index is normal.",Low,25.8,44.0,26.22
"Temperature at 25.8°C (trend stable), humidity at 44.0%.",Low,25.8,44.0,26.22
"Temperature at 24.8°C (trend stable), humidity at 50.0%.",Low,24.8,50.0,25.78
"Temperature is warm at 30.9°C, humidity is moderate.",Moderate,30.9,50.0,32.45
"Sensor readings show 24.6 degrees Celsius, 50.0 percent humidity, heat index is normal.",Low,24.6,50.0,25.67
"Temperature at 26.3°C (trend stable), humidity at 48.0%.",Low,26.3,48.0,26.72
30.8°C and 49.0% humidity detected.,Moderate,30.8,49.0,32.1
"Warning: temperature is warm, humidity is moderate. Heat index concern.",Moderate,30.8,50.0,32.29
"Warning: temperature is hot, humidity is high. Heat index concern.",Severe,38.0,61.2,63.96
30.8°C and 49.0% humidity detected.,Moderate,30.8,49.0,32.1
"Warning: temperature is hot, humidity is high. Heat index concern.",Severe,44.5,65.1,72.92999999999999
"Alert: Temperature 26.8°C, humidity 47.0%. Heat index is elevated.",Low,26.8,47.0,27.07
"Alert: Temperature 25.7°C, humidity 45.0%. Heat index is normal.",Low,25.7,45.0,26.19
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,27.6,40.0,27.33
"Temperature is 30.8°C, humidity is 50.0%, heat index is high.",Moderate,30.8,50.0,32.29
"Temperature is 30.9°C, humidity is 50.0%, heat index is high.",Moderate,30.9,50.0,32.45
"Temperature at 31.0°C (trend stable), humidity at 49.0%.",Moderate,31.0,49.0,32.42
Temperature stable to 30.8°C. Humidity stable to 49.0%.,Moderate,30.8,49.0,32.1
"Sensor readings show 30.9 degrees Celsius, 49.0 percent humidity, heat index is high.",Moderate,30.9,49.0,32.26
"Temperature is warm at 30.9°C, humidity is low.",Moderate,30.9,48.0,32.08
"Alert: Temperature 26.8°C, humidity 46.0%. Heat index is elevated.",Low,26.8,46.0,27.02
Temperature stable to 26.3°C. Humidity stable to 48.0%.,Low,26.3,48.0,26.72
"Environment: 30.8°C, 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,26.3,48.0,26.72
"Temperature is warm at 30.8°C, humidity is low.",Moderate,30.8,49.0,32.1
Temperature stable to 26.8°C. Humidity stable to 46.0%.,Low,26.8,46.0,27.02
25.7°C and 45.0% humidity detected.,Low,25.7,45.0,26.19
"Temperature is 27.6°C, humidity is 40.0%, heat index is elevated.",Moderate,27.6,40.0,27.33
"Environment: 44.5°C, 65.1%, heat index exceeds threshold.",Severe,44.5,65.1,72.92999999999999
"Temperature at 30.9°C (trend stable), humidity at 48.0%.",Moderate,30.9,48.0,32.08
"Alert: Temperature 30.9°C, humidity 50.0%. Heat index is high.",Moderate,30.9,50.0,32.45
"Alert: Temperature 30.9°C, humidity 49.0%. Heat index is high.",Moderate,30.9,49.0,32.26
"Current conditions: 30.7°C temperature, 49.0% humidity, heat index is elevated.",Moderate,30.7,49.0,31.95
"Environment: 30.9°C, 49.0%, heat index is high.",Moderate,30.9,49.0,32.26
"Temperature at 26.9°C (trend stable), humidity at 47.0%.",Low,26.9,47.0,27.15
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,31.0,49.0,32.42
"Warning: temperature is comfortable, humidity is moderate. Heat index concern.",Low,24.8,50.0,25.78
"Alert: Temperature 30.8°C, humidity 50.0%. Heat index is high.",Moderate,30.8,50.0,32.29
"Environment: 30.9°C, 48.0%, heat index is high.",Moderate,30.9,48.0,32.08
"Warning: temperature is warm, humidity is moderate. Heat index concern.",Moderate,31.0,50.0,32.62
"Current conditions: 30.8°C temperature, 50.0% humidity, heat index is high.",Moderate,30.8,50.0,32.29
Temperature stable to 25.8°C. Humidity stable to 44.0%.,Low,25.8,44.0,26.22
"Temperature at 30.8°C (trend stable), humidity at 50.0%.",Moderate,30.8,50.0,32.29
"Alert: Temperature 25.8°C, humidity 44.0%. Heat index is normal.",Low,25.8,44.0,26.22
"Temperature is warm at 30.8°C, humidity is moderate.",Moderate,30.8,50.0,32.29
"Alert: Temperature 24.9°C, humidity 50.0%. Heat index is normal.",Low,24.9,50.0,25.83
"Sensor readings show 25.8 degrees Celsius, 45.0 percent humidity, heat index is normal.",Low,25.8,45.0,26.25
30.7°C and 49.0% humidity detected.,Moderate,30.7,49.0,31.95
"Warning: temperature is hot, humidity is high. Heat index concern.",Severe,36.5,60.3,61.89
"Warning: temperature is comfortable, humidity is moderate. Heat index concern.",Low,25.0,50.0,25.89
"Environment: 30.9°C, 48.0%, heat index is high.",Moderate,30.9,48.0,32.08
"Temperature is 30.9°C, humidity is 49.0%, heat index is high.",Moderate,30.9,49.0,32.26
"Temperature is 30.8°C, humidity is 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
"Temperature is 30.8°C, humidity is 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
30.9°C and 49.0% humidity detected.,Moderate,30.9,49.0,32.26
"Temperature at 37.5°C (trend rising), humidity at 60.9%.",Severe,37.5,60.9,63.27
"Current conditions: 30.9°C temperature, 49.0% humidity, heat index is high.",Moderate,30.9,49.0,32.26
"Temperature is 30.9°C, humidity is 48.0%, heat index is high.",Moderate,30.9,48.0,32.08
"Current conditions: 30.8°C temperature, 50.0% humidity, heat index is high.",Moderate,30.8,50.0,32.29
"Alert: Temperature 30.8°C, humidity 49.0%. Heat index is high.",Moderate,30.8,49.0,32.1
"Temperature at 26.9°C (trend stable), humidity at 46.0%.",Low,26.9,46.0,27.1
"Alert: Temperature 30.9°C, humidity 48.0%. Heat index is high.",Moderate,30.9,48.0,32.08
"Alert: Temperature 30.9°C, humidity 50.0%. Heat index is high.",Moderate,30.9,50.0,32.45
"Environment: 24.9°C, 50.0%, heat index is normal.",Low,24.9,50.0,25.83
26.8°C and 47.0% humidity detected.,Low,26.8,47.0,27.07
"Temperature at 27.2°C (trend stable), humidity at 45.0%.",Moderate,27.2,45.0,27.29
"Environment: 24.8°C, 50.0%, heat index is normal.",Low,24.8,50.0,25.78
"Current conditions: 30.8°C temperature, 49.0% humidity, heat index is high.",Moderate,30.8,49.0,32.1
"Temperature at 31.0°C (trend stable), humidity at 50.0%.",Moderate,31.0,50.0,32.62
"Temperature at 25.7°C (), humidity at 45.0%.",Low,25.7,45.0,26.19
"Temperature at 25.7°C (trend stable), humidity at 45.0%.",Low,25.7,45.0,26.19
"Current conditions: 30.9°C temperature, 48.0% humidity, heat index is high.",Moderate,30.9,48.0,32.08
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,26.3,48.0,26.72
"Alert: Temperature 30.9°C, humidity 50.0%. Heat index is high.",Moderate,30.9,50.0,32.45
"Current conditions: 26.9°C temperature, 47.0% humidity, heat index is elevated.",Low,26.9,47.0,27.15
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,31.0,49.0,32.42
"Temperature at 31.0°C (trend stable), humidity at 50.0%.",Moderate,31.0,50.0,32.62
"Temperature is warm at 30.9°C, humidity is moderate.",Moderate,30.9,50.0,32.45
"Warning: temperature is comfortable, humidity is moderate. Heat index concern.",Low,24.9,50.0,25.83
"Temperature at 30.9°C (trend stable), humidity at 50.0%.",Moderate,30.9,50.0,32.45
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,25.8,44.0,26.22
Temperature rising to 40.0°C. Humidity stable to 62.4%.,Severe,40.0,62.4,66.72
"Temperature at 30.9°C (trend stable), humidity at 49.0%.",Moderate,30.9,49.0,32.26
"Warning: temperature is hot, humidity is high. Heat index concern.",Severe,40.5,62.7,67.41
Temperature stable to 30.8°C. Humidity stable to 50.0%.,Moderate,30.8,50.0,32.29
"Environment: 31.0°C, 49.0%, heat index is high.",Moderate,31.0,49.0,32.42
Temperature stable to 30.8°C. Humidity stable to 49.0%.,Moderate,30.8,49.0,32.1
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,30.8,49.0,32.1
"Temperature is warm at 30.9°C, humidity is low.",Moderate,30.9,48.0,32.08
Temperature stable to 27.2°C. Humidity stable to 45.0%.,Moderate,27.2,45.0,27.29
"Environment: 30.8°C, 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
"Environment: 31.0°C, 50.0%, heat index is high.",Moderate,31.0,50.0,32.62
"Temperature is 24.9°C, humidity is 50.0%, heat index is normal.",Low,24.9,50.0,25.83
"Warning: temperature is comfortable, humidity is moderate. Heat index concern.",Low,25.0,50.0,25.89
"Temperature is comfortable at 25.8°C, humidity is low.",Low,25.8,44.0,26.22
"Sensor readings show 27.4 degrees Celsius, 45.0 percent humidity, heat index is elevated.",Moderate,27.4,45.0,27.47
30.8°C and 49.0% humidity detected.,Moderate,30.8,49.0,32.1
"Alert: Temperature 25.7°C, humidity 44.0%. Heat index is normal.",Low,25.7,44.0,26.16
"Temperature at 26.3°C (trend stable), humidity at 48.0%.",Low,26.3,48.0,26.72
"Temperature at 27.6°C (trend stable), humidity at 40.0%.",Moderate,27.6,40.0,27.33
"Temperature at 30.8°C (trend stable), humidity at 49.0%.",Moderate,30.8,49.0,32.1
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,25.7,44.0,26.16
"Alert: Temperature 30.9°C, humidity 48.0%. Heat index is high.",Moderate,30.9,48.0,32.08
"Temperature is comfortable at 24.9°C, humidity is moderate.",Low,24.9,50.0,25.83
"Current conditions: 24.5°C temperature, 50.0% humidity, heat index is normal.",Low,24.5,50.0,25.62
"Temperature is warm at 30.9°C, humidity is moderate.",Moderate,30.9,50.0,32.45
"Temperature is 30.8°C, humidity is 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
"Environment: 30.9°C, 48.0%, heat index is high.",Moderate,30.9,48.0,32.08
"Sensor readings show 25.8 degrees Celsius, 44.0 percent humidity, heat index is normal.",Low,25.8,44.0,26.22
Temperature stable to 26.9°C. Humidity stable to 46.0%.,Low,26.9,46.0,27.1
"Alert: Temperature 31.0°C, humidity 50.0%. Heat index is high.",Moderate,31.0,50.0,32.62
"Temperature at 30.9°C (trend stable), humidity at 49.0%.",Moderate,30.9,49.0,32.26
"Temperature is 30.8°C, humidity is 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
"Current conditions: 26.8°C temperature, 46.0% humidity, heat index is elevated.",Low,26.8,46.0,27.02
"Temperature is 30.8°C, humidity is 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
30.8°C and 49.0% humidity detected.,Moderate,30.8,49.0,32.1
"Temperature at 30.9°C (trend stable), humidity at 50.0%.",Moderate,30.9,50.0,32.45
"Sensor readings show 30.8 degrees Celsius, 50.0 percent humidity, heat index is high.",Moderate,30.8,50.0,32.29
Temperature stable to 30.9°C. Humidity stable to 48.0%.,Moderate,30.9,48.0,32.08
Temperature stable to 31.0°C. Humidity stable to 49.0%.,Moderate,31.0,49.0,32.42
"Environment: 30.9°C, 49.0%, heat index is high.",Moderate,30.9,49.0,32.26
26.3°C and 47.0% humidity detected.,Low,26.3,47.0,26.67
"Temperature is warm at 30.9°C, humidity is low.",Moderate,30.9,48.0,32.08
"Temperature is hot at 43.0°C, humidity is high.",Severe,43.0,64.2,70.86
"Current conditions: 26.3°C temperature, 48.0% humidity, heat index is normal.",Low,26.3,48.0,26.72
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,30.8,49.0,32.1
"Current conditions: 30.8°C temperature, 50.0% humidity, heat index is high.",Moderate,30.8,50.0,32.29
"Environment: 26.9°C, 47.0%, heat index is elevated.",Low,26.9,47.0,27.15
30.9°C and 48.0% humidity detected.,Moderate,30.9,48.0,32.08
30.8°C and 50.0% humidity detected.,Moderate,30.8,50.0,32.29
"Temperature at 30.8°C (trend stable), humidity at 49.0%.",Moderate,30.8,49.0,32.1
"Sensor readings show 30.9 degrees Celsius, 49.0 percent humidity, heat index is high.",Moderate,30.9,49.0,32.26
"Temperature at 30.9°C (trend stable), humidity at 48.0%.",Moderate,30.9,48.0,32.08
"Sensor readings show 25.7 degrees Celsius, 44.0 percent humidity, heat index is normal.",Low,25.7,44.0,26.16
"Temperature is comfortable at 26.8°C, humidity is low.",Low,26.8,46.0,27.02
"Alert: Temperature 30.9°C, humidity 50.0%. Heat index is high.",Moderate,30.9,50.0,32.45
"Sensor readings show 27.6 degrees Celsius, 40.0 percent humidity, heat index is elevated.",Moderate,27.6,40.0,27.33
"Alert: Temperature 30.9°C, humidity 50.0%. Heat index is high.",Moderate,30.9,50.0,32.45
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,30.9,49.0,32.26
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,27.3,45.0,27.38
Temperature stable to 24.8°C. Humidity stable to 50.0%.,Low,24.8,50.0,25.78
"Temperature is 25.0°C, humidity is 50.0%, heat index is normal.",Low,25.0,50.0,25.89
"Environment: 30.8°C, 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
"Temperature is 30.9°C, humidity is 50.0%, heat index is high.",Moderate,30.9,50.0,32.45
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,27.2,45.0,27.29
"Temperature is hot at 40.5°C, humidity is high.",Severe,40.5,62.7,67.41
"Temperature at 30.9°C (trend stable), humidity at 50.0%.",Moderate,30.9,50.0,32.45
"Environment: 30.8°C, 50.0%, heat index is high.",Moderate,30.8,50.0,32.29
"Temperature is hot at 37.5°C, humidity is high.",Severe,37.5,60.9,63.27
"Alert: Temperature 39.0°C, humidity 61.8%. Heat index exceeds threshold.",Severe,39.0,61.8,65.34
"Temperature at 31.0°C (trend stable), humidity at 49.0%.",Moderate,31.0,49.0,32.42
"Alert: Temperature 30.9°C, humidity 50.0%. Heat index is high.",Moderate,30.9,50.0,32.45
"Temperature at 24.7°C (trend stable), humidity at 50.0%.",Low,24.7,50.0,25.72
"Warning: temperature is warm, humidity is moderate. Heat index concern.",Moderate,31.0,50.0,32.62
"Current conditions: 31.0°C temperature, 49.0% humidity, heat index is high.",Moderate,31.0,49.0,32.42
Temperature stable to 27.6°C. Humidity stable to 40.0%.,Moderate,27.6,40.0,27.33
Temperature stable to 27.2°C. Humidity stable to 45.0%.,Moderate,27.2,45.0,27.29
"Temperature at 26.8°C (trend stable), humidity at 47.0%.",Low,26.8,47.0,27.07
"Alert: Temperature 24.8°C, humidity 50.0%. Heat index is normal.",Low,24.8,50.0,25.78
"Environment: 30.9°C, 50.0%, heat index is high.",Moderate,30.9,50.0,32.45
31.0°C and 50.0% humidity detected.,Moderate,31.0,50.0,32.62
"Sensor readings show 30.9 degrees Celsius, 49.0 percent humidity, heat index is high.",Moderate,30.9,49.0,32.26
"Temperature is 24.9°C, humidity is 50.0%, heat index is normal.",Low,24.9,50.0,25.83
30.8°C and 49.0% humidity detected.,Moderate,30.8,49.0,32.1
"Alert: Temperature 30.7°C, humidity 49.0%. Heat index is elevated.",Moderate,30.7,49.0,31.95
"Temperature at 31.0°C (trend stable), humidity at 50.0%.",Moderate,31.0,50.0,32.62
"Temperature is 30.9°C, humidity is 49.0%, heat index is high.",Moderate,30.9,49.0,32.26
"Alert: Temperature 30.9°C, humidity 48.0%. Heat index is high.",Moderate,30.9,48.0,32.08
"Temperature at 31.0°C (trend stable), humidity at 49.0%.",Moderate,31.0,49.0,32.42
"Warning: temperature is comfortable, humidity is moderate. Heat index concern.",Low,24.7,50.0,25.72
24.6°C and 50.0% humidity detected.,Low,24.6,50.0,25.67
"Sensor readings show 31.0 degrees Celsius, 50.0 percent humidity, heat index is high.",Moderate,31.0,50.0,32.62
"Temperature is 25.8°C, humidity is 44.0%, heat index is normal.",Low,25.8,44.0,26.22
"Temperature is warm at 30.8°C, humidity is moderate.",Moderate,30.8,50.0,32.29
"Sensor readings show 31.0 degrees Celsius, 49.0 percent humidity, heat index is high.",Moderate,31.0,49.0,32.42
"Temperature is 26.9°C, humidity is 47.0%, heat index is elevated.",Low,26.9,47.0,27.15
24.4°C and 51.0% humidity detected.,Low,24.4,51.0,25.57
"Temperature is 24.9°C, humidity is 50.0%, heat index is normal.",Low,24.9,50.0,25.83
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,26.2,48.0,26.64
Temperature rising to 42.5°C. Humidity stable to 63.9%.,Severe,42.5,63.9,70.17
"Environment: 30.8°C, 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
Temperature stable to 26.3°C. Humidity stable to 47.0%.,Low,26.3,47.0,26.67
"Temperature is warm at 27.6°C, humidity is low.",Moderate,27.6,40.0,27.33
"Current conditions: 30.9°C temperature, 50.0% humidity, heat index is high.",Moderate,30.9,50.0,32.45
Temperature stable to 31.0°C. Humidity stable to 50.0%.,Moderate,31.0,50.0,32.62
"Alert: Temperature 30.8°C, humidity 49.0%. Heat index is high.",Moderate,30.8,49.0,32.1
30.9°C and 49.0% humidity detected.,Moderate,30.9,49.0,32.26
"Temperature at 30.8°C (trend stable), humidity at 50.0%.",Moderate,30.8,50.0,32.29
"Warning: temperature is hot, humidity is high. Heat index concern.",Severe,45.5,65.7,74.31
"Temperature is warm at 30.8°C, humidity is low.",Moderate,30.8,49.0,32.1
Temperature rising to 26.1°C. Humidity dropping to 48.0%.,Low,26.1,48.0,26.56
"Environment: 30.9°C, 50.0%, heat index is high.",Moderate,30.9,50.0,32.45
"Sensor readings show 27.1 degrees Celsius, 46.0 percent humidity, heat index is elevated.",Moderate,27.1,46.0,27.27
"Warning: temperature is comfortable, humidity is moderate. Heat index concern.",Low,24.8,50.0,25.78
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,30.7,49.0,31.95
"Temperature is 30.8°C, humidity is 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
26.2°C and 48.0% humidity detected.,Low,26.2,48.0,26.64
"Current conditions: 30.8°C temperature, 50.0% humidity, heat index is high.",Moderate,30.8,50.0,32.29
"Alert: Temperature 30.8°C, humidity 49.0%. Heat index is high.",Moderate,30.8,49.0,32.1
"Environment: 24.9°C, 50.0%, heat index is normal.",Low,24.9,50.0,25.83
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,30.9,49.0,32.26
"Temperature at 30.9°C (trend stable), humidity at 49.0%.",Moderate,30.9,49.0,32.26
"Alert: Temperature 25.8°C, humidity 44.0%. Heat index is normal.",Low,25.8,44.0,26.22
Temperature rising to 27.6°C. Humidity dropping rapidly to 40.0%.,Moderate,27.6,40.0,27.33
"Temperature is warm at 30.9°C, humidity is low.",Moderate,30.9,48.0,32.08
25.8°C and 44.0% humidity detected.,Low,25.8,44.0,26.22
30.8°C and 50.0% humidity detected.,Moderate,30.8,50.0,32.29
"Sensor readings show 26.8 degrees Celsius, 47.0 percent humidity, heat index is elevated.",Low,26.8,47.0,27.07
26.8°C and 47.0% humidity detected.,Low,26.8,47.0,27.07
"Temperature at 30.8°C (trend stable), humidity at 49.0%.",Moderate,30.8,49.0,32.1
Temperature stable to 30.9°C. Humidity stable to 49.0%.,Moderate,30.9,49.0,32.26
"Sensor readings show 30.9 degrees Celsius, 50.0 percent humidity, heat index is high.",Moderate,30.9,50.0,32.45
25.8°C and 44.0% humidity detected.,Low,25.8,44.0,26.22
"Sensor readings show 26.5 degrees Celsius, 43.0 percent humidity, heat index is normal.",Low,26.5,43.0,26.65
Temperature stable to 30.9°C. Humidity stable to 48.0%.,Moderate,30.9,48.0,32.08
"Temperature at 25.8°C (trend stable), humidity at 44.0%.",Low,25.8,44.0,26.22
"Environment: 26.8°C, 47.0%, heat index is elevated.",Low,26.8,47.0,27.07
"Current conditions: 31.0°C temperature, 50.0% humidity, heat index is high.",Moderate,31.0,50.0,32.62
Temperature stable to 30.8°C. Humidity stable to 49.0%.,Moderate,30.8,49.0,32.1
"Temperature is 26.8°C, humidity is 46.0%, heat index is elevated.",Low,26.8,46.0,27.02
"Temperature is 30.8°C, humidity is 50.0%, heat index is high.",Moderate,30.8,50.0,32.29
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,30.8,49.0,32.1
"Current conditions: 26.9°C temperature, 46.0% humidity, heat index is elevated.",Low,26.9,46.0,27.1
"Temperature is 30.8°C, humidity is 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
"Alert: Temperature 30.9°C, humidity 50.0%. Heat index is high.",Moderate,30.9,50.0,32.45
31.0°C and 50.0% humidity detected.,Moderate,31.0,50.0,32.62
"Current conditions: 27.6°C temperature, 40.0% humidity, heat index is elevated.",Moderate,27.6,40.0,27.33
Temperature stable to 30.8°C. Humidity stable to 50.0%.,Moderate,30.8,50.0,32.29
"Sensor readings show 31.0 degrees Celsius, 50.0 percent humidity, heat index is high.",Moderate,31.0,50.0,32.62
Temperature stable to 25.7°C. Humidity stable to 44.0%.,Low,25.7,44.0,26.16
"Environment: 25.0°C, 50.0%, heat index is normal.",Low,25.0,50.0,25.89
"Temperature is 31.0°C, humidity is 50.0%, heat index is high.",Moderate,31.0,50.0,32.62
Temperature stable to 24.8°C. Humidity stable to 50.0%.,Low,24.8,50.0,25.78
"Warning: temperature is comfortable, humidity is moderate. Heat index concern.",Low,24.9,50.0,25.83
"Temperature is comfortable at 24.4°C, humidity is moderate.",Low,24.4,51.0,25.57
Temperature stable to 30.8°C. Humidity stable to 49.0%.,Moderate,30.8,49.0,32.1
"Environment: 27.2°C, 46.0%, heat index is elevated.",Moderate,27.2,46.0,27.35
Temperature stable to 24.5°C. Humidity stable to 51.0%.,Low,24.5,51.0,25.62
"Current conditions: 30.7°C temperature, 49.0% humidity, heat index is elevated.",Moderate,30.7,49.0,31.95
Temperature stable to 24.9°C. Humidity stable to 50.0%.,Low,24.9,50.0,25.83
40.0°C and 62.4% humidity detected.,Severe,40.0,62.4,66.72
25.8°C and 45.0% humidity detected.,Low,25.8,45.0,26.25
"Environment: 26.8°C, 47.0%, heat index is elevated.",Low,26.8,47.0,27.07
"Temperature at 30.9°C (trend stable), humidity at 50.0%.",Moderate,30.9,50.0,32.45
"Environment: 30.9°C, 48.0%, heat index is high.",Moderate,30.9,48.0,32.08
"Environment: 27.1°C, 46.0%, heat index is elevated.",Moderate,27.1,46.0,27.27
"Warning: temperature is warm, humidity is moderate. Heat index concern.",Moderate,31.0,50.0,32.62
Temperature stable to 30.8°C. Humidity stable to 49.0%.,Moderate,30.8,49.0,32.1
"Temperature is warm at 30.9°C, humidity is low.",Moderate,30.9,49.0,32.26
"Temperature is 26.9°C, humidity is 47.0%, heat index is elevated.",Low,26.9,47.0,27.15
"Temperature at 30.8°C (trend stable), humidity at 49.0%.",Moderate,30.8,49.0,32.1
"Current conditions: 24.4°C temperature, 51.0% humidity, heat index is normal.",Low,24.4,51.0,25.57
"Environment: 31.0°C, 50.0%, heat index is high.",Moderate,31.0,50.0,32.62
30.8°C and 49.0% humidity detected.,Moderate,30.8,49.0,32.1
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,31.0,49.0,32.42
"Environment: 24.7°C, 50.0%, heat index is normal.",Low,24.7,50.0,25.72
"Alert: Temperature 40.0°C, humidity 62.4%. Heat index exceeds threshold.",Severe,40.0,62.4,66.72
30.8°C and 50.0% humidity detected.,Moderate,30.8,50.0,32.29
Temperature stable to 30.8°C. Humidity stable to 49.0%.,Moderate,30.8,49.0,32.1
Temperature rising to 45.0°C. Humidity stable to 65.4%.,Severe,45.0,65.4,73.62
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,25.7,45.0,26.19
"Current conditions: 30.9°C temperature, 48.0% humidity, heat index is high.",Moderate,30.9,48.0,32.08
"Environment: 30.8°C, 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
27.2°C and 45.0% humidity detected.,Moderate,27.2,45.0,27.29
26.3°C and 47.0% humidity detected.,Low,26.3,47.0,26.67
"Alert: Temperature 30.8°C, humidity 49.0%. Heat index is high.",Moderate,30.8,49.0,32.1
Temperature stable to 30.8°C. Humidity rising to 50.0%.,Moderate,30.8,50.0,32.29
